top - 16:16:25 up  2:14,  2 users,  load average: 0.27, 0.63, 0.44
Tasks:  86 total,   3 running,  83 sleeping,   0 stopped,   0 zombie
%Cpu(s): 12.4 us,  9.7 sy,  0.0 ni, 76.8 id,  0.0 wa,  0.0 hi,  1.1 si,  0.0 st
MiB Mem :   7865.2 total,   4533.2 free,   2113.7 used,   1218.3 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.   5494.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 414153 phinguy+  20   0  543400  50928  15936 R 226.7   0.6   0:00.34 python
   1014 phinguy+  20   0   11.2g 215940  51200 S  13.3   2.7   5:18.60 node
      1 root      20   0  167196  12720   8344 S   0.0   0.2   2:07.58 systemd
      2 root      20   0    2280   1300   1188 S   0.0   0.0   0:00.00 init-systemd(Ub
      7 root      20   0    2308    132    132 S   0.0   0.0   0:00.01 init
     42 root      19  -1   47828  15880  14848 S   0.0   0.2   0:00.16 systemd-journal
     65 root      20   0   22096   5796   4348 S   0.0   0.1   0:00.17 systemd-udevd
     84 root      20   0    4496    144      0 S   0.0   0.0   0:00.00 snapfuse
     86 root      20   0    4784   1812   1376 S   0.0   0.0   0:00.93 snapfuse
     87 root      20   0    4628    200     48 S   0.0   0.0   0:00.00 snapfuse
     88 root      20   0    4496    172     28 S   0.0   0.0   0:00.00 snapfuse
     89 root      20   0    4736   1756   1252 S   0.0   0.0   0:02.65 snapfuse
     90 root      20   0    4496    152      8 S   0.0   0.0   0:00.00 snapfuse
     96 root      20   0    4496    176     36 S   0.0   0.0   0:00.00 snapfuse
     97 root      20   0    4752   1960   1428 S   0.0   0.0   0:01.14 snapfuse
    146 systemd+  20   0   25540  12636   8436 S   0.0   0.2   0:00.14 systemd-resolve
    167 root      20   0    4308   2680   2424 S   0.0   0.0   0:00.00 cron
    182 message+  20   0    8596   4644   4116 S   0.0   0.1   0:00.19 dbus-daemon
    195 root      20   0   30104  19180  10380 S   0.0   0.2   0:00.07 networkd-dispat
    196 syslog    20   0  222404   7336   4464 S   0.0   0.1   0:00.02 rsyslogd
    198 root      20   0 1985000  47364  19300 S   0.0   0.6   0:01.26 snapd
    199 root      20   0   15336   7440   6492 S   0.0   0.1   0:00.16 systemd-logind
    230 root      20   0    4784   3328   3088 S   0.0   0.0   0:00.06 subiquity-serve
    236 root      20   0  107232  21324  13208 S   0.0   0.3   0:00.05 unattended-upgr
    241 root      20   0    3240   1072    980 S   0.0   0.0   0:00.00 agetty
    248 root      20   0    3196   1064    976 S   0.0   0.0   0:00.00 agetty
    260 root      20   0   15436   8676   7104 S   0.0   0.1   0:00.00 sshd
    272 mysql     20   0 2637928 490168  36572 S   0.0   6.1   1:06.62 mysqld
    411 root      20   0  885772  81988  24116 S   0.0   1.0   0:08.02 python3.10
    440 root      20   0    2288    112      0 S   0.0   0.0   0:00.00 SessionLeader
    441 root      20   0    2304    120      0 S   0.0   0.0   0:00.02 Relay(442)
    442 phinguy+  20   0    6316   5452   3580 S   0.0   0.1   0:00.08 bash
    443 root      20   0    7528   5028   4104 S   0.0   0.1   0:00.00 login
    502 phinguy+  20   0   16916   8820   7364 S   0.0   0.1   0:00.04 systemd
