"SalesOrderID","OrderDate","CustomerID"
"154733","2022-11-06","4345"
"154734","2022-11-06","42497"
"154735","2022-11-06","30595"
"154736","2022-11-06","7208"
"154737","2022-11-06","15987"
"154738","2022-11-06","14542"
"154739","2022-11-06","14538"
"154740","2022-11-06","1227"
"154741","2022-11-06","11773"
"154742","2022-11-06","47030"
"154743","2022-11-06","40094"
"154744","2022-11-06","15907"
"154745","2022-11-06","34842"
"154746","2022-11-06","23971"
"154747","2022-11-06","21152"
"154748","2022-11-06","39964"
"154749","2022-11-06","19804"
"154750","2022-11-06","3611"
"154751","2022-11-06","45287"
"154752","2022-11-06","25801"
"154753","2022-11-06","47032"
"154754","2022-11-06","37053"
"154755","2022-11-06","400"
"154756","2022-11-06","47034"
"154757","2022-11-06","47036"
"154758","2022-11-06","45787"
"154759","2022-11-06","47038"
"154760","2022-11-06","11192"
"154761","2022-11-06","9964"
"154762","2022-11-06","41194"
"154763","2022-11-06","26380"
"154764","2022-11-06","1156"
"154765","2022-11-06","44268"
"154766","2022-11-06","9405"
"154767","2022-11-06","29079"
"154768","2022-11-06","13597"
"154769","2022-11-06","45308"
"154770","2022-11-06","29524"
"154771","2022-11-06","13512"
"154772","2022-11-06","27113"
"154773","2022-11-06","44939"
"154774","2022-11-06","9536"
"154775","2022-11-06","15051"
"154776","2022-11-06","46404"
"154777","2022-11-06","26830"
"154778","2022-11-06","40747"
"154779","2022-11-06","19549"
"154780","2022-11-06","9302"
"154781","2022-11-06","8215"
"154782","2022-11-06","6747"
"154783","2022-11-06","47040"
"154784","2022-11-06","32276"
"154785","2022-11-06","29002"
"154786","2022-11-06","22728"
"154787","2022-11-06","35269"
"154788","2022-11-06","16125"
"154789","2022-11-06","29280"
"154790","2022-11-06","5262"
"154791","2022-11-06","43505"
"154792","2022-11-06","38659"
"154793","2022-11-06","32625"
"154794","2022-11-06","30297"
"154795","2022-11-06","28771"
"154796","2022-11-06","40471"
"154797","2022-11-06","7442"
"154798","2022-11-06","18805"
"154799","2022-11-06","6973"
"154800","2022-11-06","33763"
"154801","2022-11-06","17024"
"154802","2022-11-06","21759"
"154803","2022-11-06","18682"
"154804","2022-11-06","47043"
"154805","2022-11-06","21648"
"154806","2022-11-06","35131"
"154807","2022-11-06","38353"
"154808","2022-11-06","47044"
"154809","2022-11-06","14661"
"154810","2022-11-06","37934"
"154811","2022-11-06","47046"
"154812","2022-11-06","38473"
"154813","2022-11-06","25808"
"154814","2022-11-06","20091"
"154815","2022-11-06","8833"
"154816","2022-11-06","46334"
"154817","2022-11-06","15230"
"154818","2022-11-06","41673"
"154819","2022-11-06","33248"
"154820","2022-11-06","8832"
"154821","2022-11-06","21574"
"154822","2022-11-06","27148"
"154823","2022-11-06","47049"
"154824","2022-11-06","27961"
"154825","2022-11-06","32547"
"154826","2022-11-06","7540"
"154827","2022-11-06","35626"
"154828","2022-11-06","14311"
"154829","2022-11-06","16920"
"154830","2022-11-06","7188"
"154831","2022-11-06","29008"
"154832","2022-11-06","38490"
"154833","2022-11-06","18391"
"154834","2022-11-06","27370"
"154835","2022-11-06","45728"
"154836","2022-11-06","44614"
"154837","2022-11-06","30204"
"154838","2022-11-06","1251"
"154839","2022-11-06","13915"
"154840","2022-11-06","37352"
"154841","2022-11-06","24804"
"154842","2022-11-06","19504"
"154843","2022-11-06","3577"
"154844","2022-11-06","32699"
"154845","2022-11-06","47051"
"154846","2022-11-06","47053"
"154847","2022-11-06","47055"
"154848","2022-11-06","1599"
"154849","2022-11-06","29262"
"154850","2022-11-06","39397"
"154851","2022-11-06","15337"
"154852","2022-11-06","12937"
"154853","2022-11-06","29692"
"154854","2022-11-06","41570"
"154855","2022-11-06","4288"
"154856","2022-11-06","47057"
"154857","2022-11-06","40454"
"154858","2022-11-06","10771"
"154859","2022-11-06","13847"
"154860","2022-11-06","19043"
"154861","2022-11-06","26226"
"154862","2022-11-06","7515"
"154863","2022-11-06","47059"
"154864","2022-11-06","47061"
"154865","2022-11-06","44721"
"154866","2022-11-06","3988"
"154867","2022-11-06","29976"
"154868","2022-11-06","31264"
"154869","2022-11-06","24806"
"154870","2022-11-06","43350"
"154871","2022-11-06","24307"
"154872","2022-11-06","19662"
"154873","2022-11-06","47064"
"154874","2022-11-06","13392"
"154875","2022-11-06","12252"
"154876","2022-11-06","45766"
"154877","2022-11-06","17152"
"154878","2022-11-06","44312"
"154879","2022-11-06","33687"
"154880","2022-11-06","44844"
"154881","2022-11-06","47066"
"154882","2022-11-06","5373"
"154883","2022-11-06","12977"
"154884","2022-11-06","47068"
"154885","2022-11-06","5510"
"154886","2022-11-06","16931"
"154887","2022-11-06","47070"
"154888","2022-11-06","26906"
"154889","2022-11-06","21800"
"154890","2022-11-06","10529"
"154891","2022-11-06","47072"
"154892","2022-11-06","25586"
"154893","2022-11-06","18838"
"154894","2022-11-06","47074"
"154895","2022-11-06","4653"
"154896","2022-11-06","47076"
"154897","2022-11-06","47078"
"154898","2022-11-06","47081"
"154899","2022-11-06","35729"
"154900","2022-11-06","1915"
"154901","2022-11-06","18337"
"154902","2022-11-06","16516"
"154903","2022-11-06","39267"
"154904","2022-11-06","18271"
"154905","2022-11-06","23278"
"154906","2022-11-06","42771"
"154907","2022-11-06","31740"
"154908","2022-11-06","47083"
"154909","2022-11-06","32300"
"154910","2022-11-06","37350"
"154911","2022-11-06","23225"
"154912","2022-11-06","27946"
"154913","2022-11-06","30046"
"154914","2022-11-06","13838"
"154915","2022-11-06","46730"
"154916","2022-11-06","47086"
"154917","2022-11-06","2960"
"154918","2022-11-06","47089"
"154919","2022-11-06","4928"
"154920","2022-11-06","47091"
"154921","2022-11-06","15759"
